x,y,quantity,category,index
74.3445091,31.4776559,,Depot,1
74.3343102,31.4570771,4,Container Point,2
74.3367957,31.4583532,2,Container Point,3
74.3371711,31.4592648,5,Container Point,4
74.3378903,31.4604641,5,Container Point,5
74.3384272,31.4607929,2,Container Point,6
74.3385062,31.4614719,4,Container Point,7
74.3192489,31.4632442,1,Container Point,8
74.3221969,31.4616695,5,Container Point,9
74.3243091,31.4613659,4,Container Point,10
74.3272624,31.459956,7,Container Point,11
74.3397537,31.4638039,4,Container Point,12
74.3403805,31.4642819,2,Container Point,13
74.3394723,31.4649471,2,Container Point,14
74.3386322,31.4658526,5,Container Point,15
74.3414334,31.4661727,2,Container Point,16
74.3426252,31.4669077,2,Container Point,17
74.3427148,31.4671448,1,Container Point,18
74.3427683,31.4689793,2,Container Point,19
74.3428786,31.4689971,1,Container Point,20
74.3441268,31.4710557,3,Container Point,21
74.3388988,31.4754113,5,Container Point,22
74.3371821,31.4767588,3,Container Point,23
74.3383279,31.4694846,5,Container Point,24
74.3381909,31.4695599,3,Container Point,25
74.3403169,31.4706853,3,Container Point,26
74.343966,31.4708577,1,Container Point,27
74.3414746,31.4662939,1,Container Point,28
74.3414287,31.4661619,1,Container Point,29
74.3186768,31.4632627,1,Container Point,30
74.3187061,31.4633776,1,Container Point,31
74.3187022,31.4633683,1,Container Point,32
74.3159013,31.4643684,1,Container Point,33
74.3163186,31.4664905,1,Container Point,34
74.3168717,31.4676409,3,Container Point,35
74.3175956,31.4687126,3,Container Point,36
74.3178596,31.4693477,5,Container Point,37
74.3317189,31.4733645,2,Container Point,38
74.3307566,31.4716201,1,Container Point,39
74.3307455,31.4715747,3,Container Point,40
74.3311267,31.4710907,3,Container Point,41
74.3316598,31.4707192,1,Container Point,42
74.330582,31.4698778,1,Container Point,43
74.3370675,31.472895,2,Container Point,44
74.3325739,31.5004737,3,Container Point,45
74.3318924,31.5026028,3,Container Point,46
74.3214141,31.5003407,6,Container Point,47
74.321374,31.5001223,2,Container Point,48
74.321692,31.4994631,2,Container Point,49
74.3217249,31.4993981,3,Container Point,50
74.3199159,31.500487,3,Container Point,51
74.3217872,31.499129,2,Container Point,52
74.3218145,31.4992156,3,Container Point,53
74.3182027,31.4974032,2,Container Point,54
74.3177397,31.5039853,1,Container Point,55
74.3135484,31.5039223,1,Container Point,56
74.314881,31.5025623,2,Container Point,57
74.3156614,31.4997436,1,Container Point,58
74.3173387,31.5009627,2,Container Point,59
74.3198099,31.5016281,5,Container Point,60
74.3194478,31.5025721,2,Container Point,61
74.319143,31.5027721,1,Container Point,62
74.3223053,31.5051244,4,Container Point,63
74.3230239,31.5047609,1,Container Point,64
74.3255289,31.5033745,5,Container Point,65
74.3255289,31.5033745,1,Container Point,66
74.3262937,31.505898,1,Container Point,67
74.3275818,31.507037,1,Container Point,68
74.3279786,31.5154276,1,Container Point,69
74.3279428,31.5154572,4,Container Point,70
74.3279428,31.5154572,1,Container Point,71
74.3536675,31.5464669,4,Container Point,72
74.3535904,31.5464167,1,Container Point,73
74.3545987,31.5451233,1,Container Point,74
74.355069,31.5427149,2,Container Point,75
74.3553875,31.5413606,2,Container Point,76
74.3525441,31.5408274,2,Container Point,77
74.3514637,31.5408406,3,Container Point,78
74.3574347,31.5424084,3,Container Point,79
74.3584544,31.5436224,9,Container Point,80
74.3585112,31.5436115,3,Container Point,81
74.3597635,31.5433391,2,Container Point,82
74.3602937,31.5406639,3,Container Point,83
74.3611601,31.5379916,1,Container Point,84
74.3610327,31.5360583,2,Container Point,85
74.3609707,31.5359943,7,Container Point,86
74.36054,31.5374204,5,Container Point,87
74.3574675,31.5406024,2,Container Point,88
74.3573761,31.5406449,5,Container Point,89
74.3573761,31.5406449,1,Container Point,90
74.3505735,31.5606722,2,Container Point,91
74.3510623,31.5623397,2,Container Point,92
74.3507047,31.5626227,2,Container Point,93
74.3502141,31.5644574,6,Container Point,94
74.3503055,31.5644948,2,Container Point,95
74.3508543,31.5645361,2,Container Point,96
74.3522154,31.5648688,2,Container Point,97
74.3522076,31.5648409,6,Container Point,98
74.3540231,31.561912,2,Container Point,99
74.3557761,31.5582324,3,Container Point,100
74.3498764,31.5622887,1,Container Point,101
74.3508409,31.5593458,5,Container Point,102
74.3534404,31.5571038,2,Container Point,103
74.3550305,31.5558837,2,Container Point,104
74.3449924,31.564403,3,Container Point,105
74.3459143,31.5634224,2,Container Point,106
74.3481595,31.5642905,5,Container Point,107
74.3464517,31.5674177,5,Container Point,108
74.3550082,31.5679491,2,Container Point,109
74.3795256,31.5633676,1,Container Point,110
74.3749103,31.561605,1,Container Point,111
74.3799385,31.5627825,2,Container Point,112
74.3800286,31.5627813,2,Container Point,113
74.3801254,31.5628445,1,Container Point,114
74.380573,31.5663315,4,Container Point,115
74.380309,31.5696146,1,Container Point,116
74.3810971,31.5720289,1,Container Point,117
74.3806335,31.5729676,1,Container Point,118
74.3806703,31.5734861,2,Container Point,119
74.3812358,31.5759347,1,Container Point,120
74.3800148,31.571826,2,Container Point,121
74.3799905,31.5718145,2,Container Point,122
74.3786769,31.5713736,2,Container Point,123
74.3721743,31.5686904,1,Container Point,124
74.3770734,31.5720127,7,Container Point,125
74.3784509,31.5726758,3,Container Point,126
74.3784359,31.5727244,8,Container Point,127
74.3733415,31.574005,5,Container Point,128
74.3721145,31.5721658,1,Container Point,129
74.3715658,31.5752164,2,Container Point,130
74.3712978,31.5751312,4,Container Point,131
